Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET ALL TASKS REQUEST,400,125,36,2280,220.30,0.000%,6.63130,29.25,2.98,4516.0
CREATE TASK REQUEST,400,91,37,737,88.85,0.000%,6.65613,5.28,4.53,811.8
GET PROJECTS,400,534,259,2818,285.85,0.000%,6.65480,46.77,3.01,7196.0
GET ALL USERS,400,104,32,2357,211.01,0.000%,6.70781,5.80,3.09,885.0
GET USER TASKS,400,117,49,830,85.53,0.000%,6.71580,24.16,3.30,3684.0
TOTAL,2000,194,32,2818,258.83,0.000%,32.95056,110.00,16.70,3418.6
