Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PT Thread Group:GET ALL TASKS REQUEST,400,125,62,219,388,1177,36,2280,0.000%,6.63130,29.25,2.98
PT Thread Group:CREATE TASK REQUEST,400,91,58,170,224,567,37,737,0.000%,6.65613,5.28,4.53
PT Thread Group:GET PROJECTS,400,534,418,881,1004,1322,259,2818,0.000%,6.65480,46.77,3.01
PT Thread Group:GET ALL USERS,400,104,57,147,205,715,32,2357,0.000%,6.70781,5.80,3.09
PT Thread Group:GET USER TASKS,400,117,84,203,277,470,49,830,0.000%,6.71580,24.16,3.30
TOTAL,2000,194,81,468,721,1123,32,2818,0.000%,32.95056,110.00,16.70
